Protocol,Smart Contract Name,Repo Link,Category,Smart Contract Address
,MakerDAO-MCD_CLIP_UNIV2USDCETH_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x93AE03815BAF1F19d7F18D9116E4b637cc32A131
,MakerDAO-MCD_CLIP_UNIV2ETHUSDT_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x2aC4C9b49051275AcB4C43Ec973082388D015D48
,MakerDAO-MCD_CLIP_UNIV2WBTCDAI_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x4fC53a57262B87ABDa61d6d0DB2bE7E9BE68F6b8
,MakerDAO-MCD_CLIP_UNIV2WBTCETH_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0xb15afaB996904170f87a64Fe42db0b64a6F75d24
,MakerDAO-MCD_CLIP_UNIV2LINKETH_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x6aa0520354d1b84e1C6ABFE64a708939529b619e
,MakerDAO-MCD_CLIP_UNIV2UNIETH_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0xb0ece6F5542A4577E2f1Be491A937Ccbbec8479e
,MakerDAO-MCD_CLIP_UNIV2AAVEETH_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x854b252BA15eaFA4d1609D3B98e00cc10084Ec55
,MakerDAO-MCD_CLIP_UNIV2DAIUSDT_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0xe4B82Be84391b9e7c56a1fC821f47569B364dd4a
,MakerDAO-MCD_CLIP_USDC_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x046b1A5718da6A226D912cFd306BA19980772908
,MakerDAO-MCD_CLIP_USDC_B,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x5590F23358Fe17361d7E4E4f91219145D8cCfCb3
,MakerDAO-MCD_CLIP_TUSD_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x0F6f88f8A4b918584E3539182793a0C276097f44
,MakerDAO-MCD_CLIP_USDT_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0xFC9D6Dd08BEE324A5A8B557d2854B9c36c2AeC5d
,MakerDAO-MCD_CLIP_PAXUSD_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0xBCb396Cd139D1116BD89562B49b9D1d6c25378B0
,MakerDAO-MCD_CLIP_GUSD_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0xa47D68b9dB0A0361284fA04BA40623fcBd1a263E
,MakerDAO-MCD_CLIP_PSM_USDC_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x66609b4799fd7cE12BA799AD01094aBD13d5014D
,MakerDAO-MCD_CLIP_UNIV2DAIUSDC_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x9B3310708af333f6F379FA42a5d09CBAA10ab309
,MakerDAO-RWA003,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0x07F0A80aD7AeB7BfB7f139EA71B3C8f7E17156B9
,MakerDAO-RWA003_A_URN,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0x7bF825718e7C388c3be16CFe9982539A7455540F
,MakerDAO-RWA004,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0x873F2101047A62F84456E3B2B13df2287925D3F9
,MakerDAO-RWA004_A_URN,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0xeF1699548717aa4Cf47aD738316280b56814C821
,MakerDAO-RWA005,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0x6DB236515E90fC831D146f5829407746EDdc5296
,MakerDAO-RWA005_A_URN,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0xc40907545C57dB30F01a1c2acB242C7c7ACB2B90
,MakerDAO-RWA006,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0x4EE03cfBF6E784c462839f5954d60f7C2B60b113
,MakerDAO-RWA006_A_URN,https://github.com/makerdao/rwa-toolkit,DeFi;Collateralized Debt Position (CDP),0x0C185bf5388DdfDB288F4D875265d456D18FD9Cb
,MakerDAO-VOTE_DELEGATE_PROXY_FACTORY,https://github.com/makerdao/vote-delegate,DeFi;Collateralized Debt Position (CDP),0xD897F108670903D1d6070fcf818f9db3615AF272
,MakerDAO-MCD_CLIP_PSM_PAX_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x5322a3551bc6a1b39d5D142e5e38Dc5B4bc5B3d2
,MakerDAO-MCD_JOIN_MATIC_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0x885f16e177d45fC9e7C87e1DA9fd47A9cfcE8E13
,MakerDAO-MCD_CLIP_MATIC_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x29342F530ed6120BDB219D602DaFD584676293d1
,MakerDAO-PIP_MATIC,https://github.com/makerdao/osm,DeFi;Collateralized Debt Position (CDP),0x8874964279302e6d4e523Fb1789981C39a1034Ba
,MakerDAO-GUNIV3DAIUSDC1,https://github.com/makerdao/vote-proxy,DeFi;Collateralized Debt Position (CDP),0xAbDDAfB225e10B90D798bB8A886238Fb835e2053
,MakerDAO-MCD_JOIN_GUNIV3DAIUSDC1_A,https://github.com/makerdao/xdomain-dss,DeFi;Collateralized Debt Position (CDP),0xbFD445A97e7459b0eBb34cfbd3245750Dba4d7a4
,MakerDAO-MCD_CLIP_GUNIV3DAIUSDC1_A,https://github.com/makerdao/lockstake,DeFi;Collateralized Debt Position (CDP),0x5048c5Cd3102026472f8914557A1FD35c8Dc6c9e
,MakerDAO-PIP_GUNIV3DAIUSDC1,https://github.com/makerdao/univ3-lp-oracle,DeFi;Collateralized Debt Position (CDP),0x7F6d78CC0040c87943a0e0c140De3F77a273bd58
,MakerDAO-OPTIMISM_DAI_BRIDGE,https://github.com/makerdao/optimism-dai-bridge,DeFi;Collateralized Debt Position (CDP),0x10E6593CDda8c58a1d0f14C5164B376352a55f2F
,MakerDAO-OPTIMISM_ESCROW,https://github.com/makerdao/optimism-dai-bridge,DeFi;Collateralized Debt Position (CDP),0x467194771dAe2967Aef3ECbEDD3Bf9a310C76C65
,MakerDAO-OPTIMISM_GOV_RELAY,https://github.com/makerdao/optimism-dai-bridge,DeFi;Collateralized Debt Position (CDP),0x09B354CDA89203BB7B3131CC728dFa06ab09Ae2F
,MakerDAO-ARBITRUM_DAI_BRIDGE,https://github.com/makerdao/arbitrum-dai-bridge,DeFi;Collateralized Debt Position (CDP),0xD3B5b60020504bc3489D6949d545893982BA3011
